web-scraper-order,web-scraper-start-url,cities,cities-href,price,ville,prix
1683113337-201,https://www.efficity.com/prix-immobilier-m2/,Blois (41),https://www.efficity.com/prix-immobilier-m2/v_blois_41000/,1 910 €,Blois,1910.0
1683113339-202,https://www.efficity.com/prix-immobilier-m2/,Biguglia (2B),https://www.efficity.com/prix-immobilier-m2/v_biguglia_20620/,2 380 €,Biguglia,2380.0
1683113341-203,https://www.efficity.com/prix-immobilier-m2/,Besançon (25),https://www.efficity.com/prix-immobilier-m2/v_besancon_25000/,2 240 €,Besançon,2240.0
1683113343-204,https://www.efficity.com/prix-immobilier-m2/,Belfort (90),https://www.efficity.com/prix-immobilier-m2/v_belfort_90000/,1 310 €,Belfort,1310.0
1683113345-205,https://www.efficity.com/prix-immobilier-m2/,Bastia (2B),https://www.efficity.com/prix-immobilier-m2/v_bastia_2B/,2 960 €,Bastia,2960.0
1683113349-206,https://www.efficity.com/prix-immobilier-m2/,Avignon (84),https://www.efficity.com/prix-immobilier-m2/v_avignon_84/,2 420 €,Avignon,2420.0
1683113351-207,https://www.efficity.com/prix-immobilier-m2/,Angers (49),https://www.efficity.com/prix-immobilier-m2/v_angers_49/,3 380 €,Angers,3380.0
1683113353-208,https://www.efficity.com/prix-immobilier-m2/,Amiens (80),https://www.efficity.com/prix-immobilier-m2/v_amiens_80/,2 530 €,Amiens,2530.0
1683113360-209,https://www.efficity.com/prix-immobilier-m2/,Ajaccio (2A),https://www.efficity.com/prix-immobilier-m2/v_ajaccio_2A/,3 870 €,Ajaccio,3870.0
1683113362-210,https://www.efficity.com/prix-immobilier-m2/,Aix-en-Provence (13),https://www.efficity.com/prix-immobilier-m2/v_aix-en-provence_13/,5 050 €,Aix-en-Provence,5050.0
