,Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population_x, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Continent,Least Developed,Life Expectancy,Population_y,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,Military expenditure,People practicing open defecation,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita
43,Angola,2004,Developing,47.1,386.0,94,3.53,8.8667775,,29,17.2,152,4.0,4.71,4.0,2.5,141.86844,18865716.0,1.2,1.1,0.415,6.4,Africa,True,49.263,18758138,0.930262948,3.96720099,95.85311396,60.55054624,4208.038928,0.464814618,3.471180187,37.01114547,45.35133457,3.7,1.44496
44,Angola,2003,Developing,46.8,388.0,95,3.49,35.93349121,,1196,16.8,155,4.0,4.41,4.0,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9,Africa,True,48.44,18121477,0.924869437,3.54797316,86.01883921,60.99577043,3823.350144,0.370682065,3.761479074,38.48664423,44.3638732,3.5,1.32056
45,Angola,2002,Developing,46.5,391.0,96,2.82,24.037942,,11945,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5,Africa,True,47.702,17519418,0.895577672,3.32946134,82.61657065,61.44099463,3765.608654,0.270376746,2.869932445,39.9543904,43.37679859,3.3,1.31104
46,Angola,2001,Developing,45.7,44.0,97,2.58,30.35993647,,9046,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,1.7,1.7,0.391,5.1,Africa,True,47.059,16945753,0.941828905,4.48351622,75.26465988,61.88621882,3372.470708,0.136013867,4.524353815,41.41483035,42.25467641,3.1,1.186
47,Angola,2000,Developing,45.3,48.0,97,1.85,15.88149254,,2219,15.4,160,3.0,2.79,28.0,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6,Africa,True,46.522,16395477,0.988077383,1.90859938,71.91083863,62.33144301,3271.270265,0.105045562,6.392603154,42.86651576,41.14430792,3.0,0.90147
48,Argentina,2015,Developing,76.3,116.0,8,,0.0,94.0,0,62.8,9,93.0,,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3,South America,False,76.068,43131966,4.301913876,10.22933865,3074.702071,10.63218706,20105.19899,68.04306411,0.850128583,1.549,98.96658815,28.0,3.39
49,Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717463,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,South America,False,75.913,42669500,4.209095633,9.67129135,2967.376558,10.71381852,19683.77151,64.7,0.878100919,1.578222119,98.90931952,27.4,3.37
50,Argentina,2013,Developing,76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3,South America,False,75.756,42202935,4.342115069,9.78097343,3000.603523,10.79544998,20131.68042,59.9,0.83773643,1.627158149,98.85206691,26.9,3.35
51,Argentina,2012,Developing,75.9,12.0,9,8.35,1133.558003,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2,South America,False,75.598,41733271,4.264223782,9.82728195,2929.075029,10.87708144,19641.35286,55.8,0.784824721,1.675980846,98.79495003,26.3,3.29
52,Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,South America,False,75.439,41261490,4.280989353,9.41821575,2877.652653,10.9587129,19322.22712,51.0,0.764287094,1.724886697,98.61329285,25.8,3.5
